Victoria|1870||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1871||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1872||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1873||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1874||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1875||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1876||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1877||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1878||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1879||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1880||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1881||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1882||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1883||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1884||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1885||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1886||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1887||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1888||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1889||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1890||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1891||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1892||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1893||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1894||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1895||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1896||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1897||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1898||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1899||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1900||0|||||canada_25cent_a|canada_25cent_b
    Victoria|1901||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1902||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1903||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1904||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1905||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1906||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1907||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1908||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1909||0|||||canada_25cent_a|canada_25cent_b
    Edward VII|1910||0|||||canada_25cent_a|canada_25cent_b
    George V|1911||0|||||canada_25cent_a|canada_25cent_b
    George V|1912||0|||||canada_25cent_a|canada_25cent_b
    George V|1913||0|||||canada_25cent_a|canada_25cent_b
    George V|1914||0|||||canada_25cent_a|canada_25cent_b
    George V|1915||0|||||canada_25cent_a|canada_25cent_b
    George V|1916||0|||||canada_25cent_a|canada_25cent_b
    George V|1917||0|||||canada_25cent_a|canada_25cent_b
    George V|1918||0|||||canada_25cent_a|canada_25cent_b
    George V|1919||0|||||canada_25cent_a|canada_25cent_b
    George V|1920||0|||||canada_25cent_a|canada_25cent_b
